red=53912, ir=1533, HR=71, HRvalid=1, SPO2=-999, SPO2Valid=0
red=54896, ir=2714, HR=68, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53912, ir=1533, HR=73, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53912, ir=1533, HR=73, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53912, ir=1533, HR=73, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53912, ir=1533, HR=73, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53831, ir=892, HR=84, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53831, ir=892, HR=85, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53831, ir=892, HR=88, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53831, ir=892, HR=82, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53831, ir=892, HR=88, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53831, ir=892, HR=88, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53831, ir=892, HR=84, HRvalid=1, SPO2=-999, SPO2Valid=0
red=54874, ir=2648, HR=68, HRvalid=1, SPO2=-999, SPO2Valid=0
red=54815, ir=2537, HR=69, HRvalid=1, SPO2=-999, SPO2Valid=0
red=54928, ir=2783, HR=69, HRvalid=1, SPO2=-999, SPO2Valid=0
red=54731, ir=2363, HR=68, HRvalid=1, SPO2=-999, SPO2Valid=0
red=54705, ir=2325, HR=68, HRvalid=1, SPO2=-999, SPO2Valid=0
red=54717, ir=2344, HR=68, HRvalid=1, SPO2=-999, SPO2Valid=0
red=54737, ir=2423, HR=68, HRvalid=1, SPO2=-999, SPO2Valid=0
red=54772, ir=2538, HR=68, HRvalid=1, SPO2=-999, SPO2Valid=0
red=54792, ir=2612, HR=68, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53774, ir=723, HR=88, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53774, ir=723, HR=88, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53774, ir=723, HR=88, HRvalid=1, SPO2=-999, SPO2Valid=0
red=54747, ir=2515, HR=68, HRvalid=1, SPO2=-999, SPO2Valid=0
red=54346, ir=1459, HR=68, HRvalid=1, SPO2=-999, SPO2Valid=0
red=54003, ir=570, HR=68, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53921, ir=353, HR=68, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53918, ir=377, HR=68, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53911, ir=397, HR=68, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53928, ir=441, HR=68, HRvalid=1, SPO2=-999, SPO2Valid=0
red=54000, ir=656, HR=68, HRvalid=1, SPO2=-999, SPO2Valid=0
red=54043, ir=780, HR=68, HRvalid=1, SPO2=-999, SPO2Valid=0
red=54041, ir=779, HR=68, HRvalid=1, SPO2=-999, SPO2Valid=0
red=54037, ir=798, HR=68, HRvalid=1, SPO2=-999, SPO2Valid=0
red=54080, ir=878, HR=68, HRvalid=1, SPO2=-999, SPO2Valid=0
red=54897, ir=2739, HR=71, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53912, ir=1533, HR=71, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53912, ir=1533, HR=71, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53912, ir=1533, HR=71, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53912, ir=1533, HR=71, HRvalid=1, SPO2=-999, SPO2Valid=0
red=53912, ir=1533, HR=71, HRvalid=1, SPO2=-999, SPO2Valid=0
